id,weight
a,27076270.798406903
b,45406142.63570518
c,35639059.03708995
d,31484230.792029973
e,39574332.83441414
f,33995986.73296247
g,34029760.27350697
h,19432526.740620747
i,21779943.70138271
j,1193072.265639157
k,18999442.36972012
l,22514932.180441335
m,30193427.153351665
n,11021479.288097523
o,18253599.73949668
p,1238770.4233325107
q,42519185.06362401
r,37992704.01795623
s,5652043.8476166595
t,39088788.51189915
u,36267372.78106506
v,16793625.853850465
w,35087902.52628697
x,33010202.149361808
y,22062314.710371956
z,6336957.5280920565
aa,10795046.13272163
ab,21206517.06757889
ac,44423639.29079252
ad,29630599.551593956
ae,3853471.873153678
af,15786785.462408815
ag,15202111.211776141
ah,13494544.422768038
ai,44772544.265684694
aj,44858494.95585846
ak,666368.188404309
al,40030653.066193566
am,6323034.29468155
an,35961880.86188044
ao,8240720.957107531
ap,34647420.15595613
aq,6948165.240896077
ar,32146673.583960436
as,13835874.381186489
at,12068561.308787834
au,41134311.33124343
av,30140011.93196301
aw,29864919.755533915
ax,4514608.712889703
ay,32160142.4493747
az,37910575.79084502
ba,26525105.834119458
bb,10917288.250836486
bc,955544.0994790539
bd,35711899.05213284
be,36559898.2555521
bf,27534450.512943666
bg,16877228.65519949
bh,45769454.842450894
bi,16891686.432709824
bj,40389495.09414632
bk,13922263.770908542
bl,15273803.685759349
bm,14274867.685742924
bn,40451421.765834115
bo,9448860.866773251
bp,24411657.593683176
bq,45192689.608753495
br,32155614.163259607
bs,43605550.071853705
bt,18258989.832700394
bu,16291275.895925002
bv,11721791.830697106
bw,28441924.64372155
bx,20536453.453847498
by,44215587.551178575
bz,26683100.27623587
ca,44034659.08487896
cb,31429478.34069129
cc,40398593.41601794
cd,6291545.099080761
ce,30267382.26117768
cf,830068.7835696397
cg,38644361.85796565
ch,42440469.56451184
ci,23851170.753355913
cj,45113160.35248991
ck,40194214.06372379
cl,35754572.48580276
cm,28118281.38240811
cn,43607062.95167342
co,8908816.78856948
cp,7910378.226073536
cq,38445077.129384995
cr,2152577.532049504
cs,17298073.137193978
ct,34901386.82903049
cu,16587191.718723522
cv,46887558.98575402
cw,47131359.3168594
cx,13485006.525095627
cy,7171121.489234823
cz,29514219.37286884
da,45873167.713044
db,13901504.277545229
dc,27161790.024309527
dd,30781381.057187803
de,19841437.912788104
df,46968912.717253976
dg,43421797.92187005
dh,25999468.510778222
di,34521916.281114504
dj,1736509.9640009885
dk,23332220.546653535
dl,9789472.796394268
dm,28788700.46710201
dn,15569398.09894925
do,25094344.44760426
dp,36142935.15327364
dq,13235925.32361181
dr,10689522.016672458
ds,28641596.47762309
dt,1065153.8817111847
du,31275243.262674574
dv,44593302.051051304
dw,26232460.190514
dx,28383617.125166476
dy,27837189.809624195
dz,20014716.175867792
ea,2994335.578875261
eb,11890636.428857839
ec,24955919.39549751
ed,33027347.70035049
ee,28320623.31209209
ef,42963967.255845904
eg,953200.420451804
eh,23238274.161951236
ei,1306563.2211288456
ej,44099655.97673644
ek,18382354.386195116
el,11161118.468602035
em,2631653.3183343993
en,4480908.438054464
eo,17749383.407096438
ep,2190770.6229254617
eq,43481423.9550851
er,6280378.53559479
es,35459392.10248298
et,43829539.6045673
eu,18883330.599493682
ev,7198309.213369571
ew,46942898.628808
ex,19480571.184223272
ey,40067711.07157795
ez,42958791.46499153
fa,25580201.294423845
fb,39012213.426810324
fc,20238658.357717335
fd,28324721.121046714
fe,18866171.063758824
ff,46166513.25469446
fg,42503833.16685334
fh,17138180.52026171
fi,24766129.69785871
fj,40731735.717419736
fk,35641990.678683
fl,1274909.0817003958
fm,8515821.743782237
fn,36098767.021362446
fo,23755263.222764097
fp,14417725.627392178
fq,12405413.601815416
fr,47183045.66022607
fs,2361522.064045301
ft,5908621.284953893
fu,43166214.195529364
fv,33525119.998254605
fw,18204645.76038877
fx,4970358.760541885
fy,6610208.011521078
fz,17345249.617154334
ga,46181366.50713328
gb,28451213.605105374
gc,13732379.884375297
gd,21294941.00865883
ge,9634675.780411717
gf,19841195.889579803
gg,33531738.637312204
gh,3623574.1907601906
gi,47024484.1597422
gj,21644776.181931697
gk,21246767.78609724
gl,26774511.499835093
gm,38942612.57902828
gn,18253156.337588284
go,24872721.21765403
gp,29053370.78042792
gq,40999805.85377999
gr,5800881.977469825
