,animate.css,AudioKit,bdb,beets,brackets,caffe,calcuta,cpython,earthdata-search,emcee,exo,exports,fsharp,gimp,hiv,hospitalrun-frontend,Hystrix,iina,jenkins,Leaflet,m-coffee,m-names,OptiKey,osquery,PhysicsJS,pybuilder,scikitlearn,shellcheck,soundnode-app,spacemacs,standard,uws
app,0,0.0729062552275,0.234150653263,0.0675164663277,,0,0.170282425636,0.194083644962,0,,0.00580196318604,0,,0.411258591851,0,0,0.225550399254,0.122636591074,0.225603364855,0.948339986717,0,0.0642047899583,,0.75860598862,,,0,0,,0.0237562494868,,0
git,0,0.269931693215,0.48981056485,0.359425594174,,0,0.140763320492,0.0959387438373,0,,0.721651996619,0.361034725011,0.993562240376,0.131467257023,0.167532278437,0,0.205644286774,0,0.158325914602,0.97946844372,0.134846550534,0.230208353551,0,0.124573634456,,0.339487735227,0.888308538252,0,,0.255326597787,,0.246543958191
hil,0.38052737553,0.529456862874,0.401902408039,0.360609376062,,0,0.0935633075003,0,0,,0.0758963668493,0.0612018905981,,0.0826360555693,0,0,0.291419478039,0.11401885395,0.160204428011,0,0,0,,0.240447982724,,,0.0178699756984,0,,0.0923218673298,,0.10779049407
moo,0.377121301246,0.105777746732,0.579435312627,0.234083956897,,0,0.0713363414317,0.00107959734429,0,,0.0630666420912,0.0338458411699,,0.0755020078811,0,0,0.288893438064,0,0.189571229955,0,0.0522091424783,0,,0.177896372646,,,0.036957830931,0.480690628813,,0.212455422784,,0.275436553653
nac,0.0545403154456,0.350201048876,0.549745588644,0.283369935136,0.96664841836,0,0.207950875322,0.164034919103,0,,0,0.21931046489,,0.0207235701546,0.120501300119,0,0.231935155477,0,0.165918473971,0.519443482009,0.12005508087,0.206585626731,0,0.447233154031,,0.23339614192,0.20985583237,0.251685975263,,0.180103456548,,0.123517462519
new,0,0.393078710533,0.539143319428,0.0746270947429,,0,0.16306529443,0,0,,0.23085385426,0.0508885124797,,0.0957618025098,0,0,0.241938918647,0.0257678567712,0.0418525953848,0.0303664104869,0,0,0,0.19458345537,,0.337554619716,0.143866652868,0.292482474622,,0,,0.165132602931
pbm,0,0,0.447845853979,0.131448028364,,0,0.161612656595,0.0583843594079,0,,0.337189578286,0.0596025354087,,0.106234743336,0.228118888726,0,0.065761643035,0.0371499117036,0.178643324517,0.132485652034,0.17165445569,0.119204442223,0,0.0677000697674,,0.201217959537,0.567278192289,0.151236246598,,0.257758146226,,0
pbs,0.322767966541,0.102297770477,0.476251457591,0.00193491625356,,0,0.00633645503481,0.0537890682317,0,,0.0067762935425,0,,0.0802845096165,0,0,0.248683349959,0,0.15671152116,0.173930429135,0.0273157430791,0.067446795818,,0.147663576431,,,0.162406019448,0.250661570022,,0.124499712822,,0
pbz,0,0.147431189786,0.496919601169,0.292634867729,,0,0.167208017728,0.260653149495,0,,0,0.0389720516596,,0.200422817093,0,0,0.248800872224,0,0.161624426807,0.561269750669,0,0.0330026812677,0,0.330588094942,,0.403557771855,0.117465901043,0.187921889993,,0.110363158946,,0.625387555064
snd,0,0.40766278637,0.496033451628,0.142063821649,,0,0.364440246232,0.00839926668825,0,,0.468389790621,0.250587891186,,0.0591885278502,0.261822218946,0,0,0.117924375854,0.0859011813062,0.3948400782,0.125156585596,0,0,0.29683275274,,0.107373686575,0.323310141007,0,,0.306702277842,,0.0794519730308
spi,0,0.000640028346557,0.539283177577,0.184545864018,,0,0.0656523538945,0.136035938097,0,,0.0553159309887,0,,0,0.159002876877,0,0.283838290638,0,0.153683186215,0.108027176794,0,0.14371423151,0,0.241643325003,,0.147399187106,0.268036096448,0.139542844378,,0,,0.250436375377
sqr,0,0.349101545551,0.494708281355,0.414364816024,,0,0,0.184018977481,0,,0,0,,0,0,0,0.335209760834,0,0.212723623538,0,0.351404974492,0.0158093212996,0,0.00891927964063,,0.20955141416,0.0721724102333,0.218796968961,,0,,0.305200236502
str,0,0.242441913432,0.38762778816,0.037605430476,,0,0.0387062605917,0.0258129089575,0,,0.117191261722,0,,0.00779268129388,0.144798513859,0,0.268578086381,0,0.185085753995,0.0398870705622,0.228401889143,0,0,0.216139317203,,0.130128058501,0.277817665487,0.10656426199,,0,,0.234054485202
